Event,Detector,Constant,Count,RankWithinEvent
170219-v1,H1,Hubble Constant (km/s/Mpc),0,34
170219-v1,H1,Pi,0,35
170219-v1,H1,Parsec (m),0,36
170219-v1,H1,Gas Constant R (J/(mol·K)),0,37
170219-v1,H1,Feigenbaum Delta,0,38
170219-v1,H1,Feigenbaum Alpha,0,39
170219-v1,H1,Euler’s Number,0,40
170219-v1,H1,Earth Radius (m),0,41
170219-v1,H1,Earth Mass (kg),0,42
170219-v1,H1,Coulomb Constant (N m^2 C^-2),0,43
170219-v1,H1,Cosmic Microwave Background Temp (K),0,44
170219-v1,H1,Avogadro Constant (1/mol),0,45
170219-v1,H1,Astronomical Unit (m),0,46
170219-v1,H1,Two Pi,0,47
170219-v1,L1,Golden Ratio Conjugate,57,1
